City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
124,saint-philippe,90,CA,1552351866,100,45.36,-73.48,32.0,13.69
125,fortuna,0,ES,1552351762,76,38.18,-1.13,53.01,6.93
126,hamilton,90,BM,1552351609,72,32.3,-64.78,66.2,10.29
127,pangnirtung,12,CA,1552351744,77,66.15,-65.72,-18.1,3.96
128,bredasdorp,36,ZA,1552351605,94,-34.53,20.04,69.8,1.12
129,general pico,24,AR,1552351901,68,-35.66,-63.75,64.75,9.44
130,yar-sale,56,RU,1552351901,84,66.83,70.83,11.02,7.2
131,mantua,0,IT,1552351855,27,45.16,10.79,46.99,4.7
132,pokosnoye,80,RU,1552351901,83,55.53,101.05,23.17,6.64
133,ferrol,24,ES,1552351872,100,43.48,-8.23,52.0,5.82
134,hasaki,40,JP,1552350877,53,35.73,140.83,55.0,1.12
135,cidreira,80,BR,1552351778,89,-30.17,-50.22,70.15,14.7
136,nokaneng,68,BW,1552351902,61,-19.66,22.19,76.45,6.87
137,butaritari,76,KI,1552351711,100,3.07,172.79,82.66,16.6
138,natchitoches,90,US,1552350963,87,31.76,-93.09,62.6,8.05
139,lata,64,IN,1552351902,100,30.78,78.62,37.57,1.61
140,garowe,0,SO,1552351827,92,8.41,48.48,64.39,6.87
141,naryan-mar,88,RU,1552351793,87,67.67,53.09,22.86,12.46
142,lorengau,92,PG,1552351902,100,-2.02,147.27,81.31,8.77
143,chokurdakh,32,RU,1552351766,68,70.62,147.9,-9.59,11.45
144,halifax,20,CA,1552351864,74,44.65,-63.58,37.99,5.82
145,honningsvag,0,NO,1552351902,100,70.98,25.97,21.01,5.75
146,bethanien,0,NA,1552351903,50,-26.5,17.16,51.12,5.75
147,namwala,8,ZM,1552351903,86,-15.75,26.45,67.27,3.74
148,lagoa,0,PT,1552351627,93,37.14,-8.45,62.01,5.82
149,hambantota,20,LK,1552349400,100,6.12,81.12,68.0,3.36
150,suba,92,CN,1552351903,99,28.73,103.51,50.26,1.95
151,coquimbo,0,CL,1552348800,82,-29.95,-71.34,62.6,4.7
152,suoyarvi,80,RU,1552351903,81,62.08,32.35,20.92,3.96
153,vila velha,20,BR,1552351697,88,-3.71,-38.6,82.0,3.36
154,tezu,24,IN,1552351904,89,27.93,96.16,52.15,1.61
155,point pedro,0,LK,1552351904,100,9.82,80.23,79.96,10.89
156,portland,75,US,1552351804,40,45.52,-122.67,57.99,10.29
157,mahebourg,20,MU,1552351446,88,-20.41,57.7,75.0,3.36
158,fairbanks,90,US,1552351621,55,64.84,-147.72,39.99,2.73
159,hailar,12,CN,1552351904,39,49.2,119.7,8.91,14.7
160,guerrero negro,92,MX,1552351743,89,27.97,-114.04,56.92,7.2
161,quesnel,1,CA,1552351232,60,52.98,-122.49,41.0,14.99
162,alice springs,0,AU,1552348800,17,-23.7,133.88,93.2,10.29
163,upernavik,32,GL,1552351905,100,72.79,-56.15,-2.03,7.54
164,derzhavinsk,8,KZ,1552351905,81,51.1,66.31,16.15,9.44
165,shimoda,20,JP,1552351811,50,34.7,138.93,59.0,16.11
166,general bravo,12,MX,1552351680,52,25.79,-99.18,85.36,15.7
167,victoria,75,BN,1552348800,88,5.28,115.24,78.8,3.62
168,jalu,32,LY,1552351906,32,29.03,21.55,57.96,4.97
169,hals,92,AT,1552351875,96,48.59,13.46,35.01,3.0
170,zunheboto,8,IN,1552351906,85,26.02,94.53,43.47,1.16
171,coachella,40,US,1552351870,45,33.68,-116.18,66.2,18.34
172,saskylakh,36,RU,1552351907,54,71.97,114.09,-19.31,4.74
173,umm bab,1,QA,1552348560,66,25.21,50.81,55.4,3.36
174,mopipi,100,BW,1552351907,39,-21.2,24.86,80.05,13.8
175,booue,64,GA,1552351907,88,-0.09,11.94,76.59,3.96
176,puerto maldonado,32,PE,1552351907,90,-12.59,-69.19,76.77,1.39
177,aasiaat,56,GL,1552351907,100,68.71,-52.87,9.49,3.18
178,perm,75,RU,1552348800,86,58.02,56.25,37.4,6.71
179,oranjemund,92,ZA,1552351766,95,-28.55,16.43,62.64,3.18
180,tura,0,IN,1552351907,85,25.52,90.21,56.52,3.06
181,truckee,40,US,1552351840,48,39.33,-120.18,51.01,9.17
182,viedma,44,AR,1552351908,38,-40.81,-62.99,74.83,9.33
183,norman wells,75,CA,1552349940,79,65.28,-126.83,23.0,14.99
184,vanimo,80,PG,1552351763,100,-2.67,141.3,79.74,11.45
185,ormara,64,PK,1552351908,94,25.21,64.64,66.55,6.2
186,sept-iles,75,CA,1552351648,92,50.2,-66.38,26.6,8.05
187,naze,8,NG,1552351908,84,5.43,7.07,77.94,8.88
188,bilma,0,NE,1552351908,22,18.69,12.92,61.92,4.63
189,vardo,40,US,1552351606,29,39.62,-77.74,53.6,14.99
190,sobolevo,8,RU,1552351908,79,54.43,31.9,19.21,8.66
191,touba,0,SN,1552351908,16,14.86,-15.88,73.39,10.0
192,tiksi,0,RU,1552351909,61,71.64,128.87,-3.25,15.03
193,ibia,8,NG,1552351909,95,5.18,6.32,77.08,8.21
194,nanortalik,32,GL,1552351909,100,60.14,-45.24,25.42,12.68
195,geraldton,40,CA,1552348800,56,49.72,-86.95,14.0,6.93
196,george town,75,MY,1552350600,83,5.42,100.33,82.4,6.93
197,atambua,100,ID,1552351909,100,-9.11,124.89,75.73,3.4
198,hofn,92,IS,1552351909,100,64.25,-15.21,38.47,44.34
199,palmas,20,BR,1552348800,83,-10.18,-48.33,78.8,4.7
200,pevek,8,RU,1552351615,91,69.7,170.27,-15.53,6.64
201,balashov,88,RU,1552350802,96,51.54,43.17,37.0,10.0
202,yeppoon,8,AU,1552348800,55,-23.13,150.74,87.8,6.93
203,college,20,US,1552351900,79,64.86,-147.8,39.99,2.73
204,sovetskiy,92,RU,1552351910,98,56.76,48.47,32.17,7.76
